"id","gender","idade_inferior","idade_superior","valor_inferior","valor_superior","exam_id","reference_id","valido"
"219","Feminino","12.000","12.000","185.00","495.00","90","","true"
"220","Masculino","12.000","12.000","93.00","462.00","90","","true"
"221","Feminino","13.000","13.000","140.00","559.00","90","","true"
"222","Masculino","13.000","13.000","93.00","551.00","90","","true"
"223","Feminino","14.000","14.000","219.00","483.00","90","","true"
"224","Masculino","14.000","14.000","129.00","534.00","90","","true"
"225","Feminino","15.000","15.000","235.00","481.00","90","","true"
"226","Masculino","15.000","15.000","286.00","578.00","90","","true"
"227","Feminino","16.000","16.000","237.00","468.00","90","","true"
"228","Masculino","16.000","16.000","246.00","504.00","90","","true"
"229","Feminino","17.000","17.000","342.00","445.00","90","","true"
"230","Masculino","17.000","17.000","249.00","398.00","90","","true"
"231","","18.000","21.000","147.00","404.00","90","","true"
"232","","22.000","25.000","111.00","333.00","90","","true"
"233","","26.000","30.000","93.00","294.00","90","","true"
"234","","31.000","35.000","103.00","391.00","90","","true"
"235","","36.000","40.000","103.00","322.00","90","","true"
"236","","41.000","45.000","95.00","251.00","90","","true"
"237","","46.000","50.000","94.00","217.00","90","","true"
"238","","51.000","55.000","77.00","242.00","90","","true"
"239","","56.000","60.000","55.00","229.00","90","","true"
"240","","61.000","80.000","20.00","204.00","90","","true"
"241","","","","","150.00","91","55","false"
"242","Feminino","","","20.00","400.00","91","","true"
"243","Masculino","","","250.00","2000.00","91","","true"
"244","Feminino","","","17.00","125.00","92","","true"
"245","Masculino","","","16.00","76.00","92","","true"
"246","Feminino","","","","25.00","93","","true"
"247","Masculino","","","140.00","400.00","93","","true"
"248","Feminino","","","200.00","1500.00","94","60","false"
"249","Feminino","","","1700.00","27000.00","94","62","false"
"250","Feminino","","","","800.00","94","63","false"
"251","Feminino","","","11200.00","90000.00","94","31","false"
"252","Feminino","","","25000.00","180000.00","94","32","false"
"253","Feminino","","","48400.00","422500.00","94","33","false"
"254","Masculino","","","","1400.00","94","","true"
"255","","","","","800.00","94","55","false"
"256","","","","","0.50","95","65","false"
"257","","","","","0.30","95","66","false"
"258","","","","5.00","12.00","96","","true"
"259","","","","30.00","200.00","97","","true"
"260","","","","0.30","1.20","98","53","true"
"261","","","","0.60","3.90","98","54","true"
"262","","12.000","","8.40","10.20","99","4","true"
"263","","0.000","12.000","8.80","10.80","99","5","true"
"264","","","","136.00","145.00","100","","true"
"265","","","","3.70","5.90","101","50","false"
"266","","","","3.50","5.30","101","4","true"
"267","","","0.330","1.50","2.20","102","67","true"
"268","","0.410","6.000","1.70","2.30","102","","true"
"269","","7.000","20.000","1.70","2.20","102","","true"
"270","","20.000","","1.60","2.60","102","","true"
"271","","","","11.00","48.00","103","","true"
"272","","","","","5.00","104","","true"
"273","","","","","2.00","105","43","true"
"274","","","","20.00","","105","42","false"
"275","","","","","40.00","106","","true"
"276","","","","20.00","190.00","107","","true"
"277","","","","60.00","150.00","108","","true"
"278","","","","0.60","1.20","109","70","false"
"279","","","","1.20","1.50","109","71","false"
"280","","","","1.50","","109","72","false"
"281","","","","","30.00","29","47","false"
"282","","","","30.00","40.00","29","18","true"
"283","","","","40.00","","29","19","false"
"284","","","","","16.00","113","1","true"
"285","","","","17.00","174.00","113","74","false"
"286","","","","174.00","","113","75","false"
"287","","","","","29.00","114","1","true"
"288","","","","30.00","300.00","114","74","false"
"289","","","","","0.90","115","43","true"
"290","","","","0.90","1.10","115","38","false"
"291","","","","1.10","","115","42","false"
"292","","","","","0.90","116","43","true"
"293","","","","0.90","1.10","116","38","false"
"294","","","","1.10","","116","42","false"
"295","","","","","0.90","117","76","true"
"296","Masculino","","","4.50","5.50","118","","true"
"297","Feminino","","","3.80","4.80","118","","true"
"298","","","","0.35","5.90","119","","true"
"299","","","","","0.00","121","43","true"
"300","","","","","0.00","122","","true"
"301","","","","","0.00","123","","true"
"302","","","","","0.00","124","43","true"
"303","","","","","0.00","125","43","true"
"304","","","","","0.00","126","43","true"
"305","","","","","0.00","127","43","true"
"306","","","","","0.00","128","43","true"
"307","","","","","0.00","129","43","true"
"308","","","","","0.00","130","43","true"
"309","","","","","0.00","131","43","true"
"310","","","","","0.00","132","43","true"
"311","","","","","0.00","133","43","true"
"312","","","","","0.00","134","43","true"
"313","","","","10.20","17.00","135","","true"
"314","","","","8.80","12.70","136","","true"
"315","","","","18.00","47.00","137","","true"
"316","","","","4.80","7.40","138","","true"
"317","","","","1.02","1.03","139","","true"
"318","","","","","10.00","140","","true"
"319","","","","","30.00","141","","true"
"320","","","","","5.00","142","","true"
"321","","","","","1.00","143","","true"
"322","","","","","0.20","144","","true"
"323","","","","","0.00","145","77","true"
"324","","","","","0.00","146","37","true"
"325","","","","","0.00","147","37","true"
"326","","","","0.00","5.00","148","","true"
"327","Feminino","","","0.00","5.00","149","","true"
"328","","","","","10.00","150","","true"
"329","","","","","0.00","151","78","true"
"330","","","","","0.00","153","78","true"
"331","","","","","0.00","154","79","true"
"332","","","","","0.00","155","77","true"
"333","","","","","0.00","156","77","true"
"334","Masculino","","","0.00","3.00","149","","true"
"335","","","","","0.00","157","77","true"
"336","","","","","0.00","158","77","true"
"337","","","","0.00","10000.00","159","80","true"
"338","","","","","0.00","160","77","true"
"339","","","","","0.00","161","77","true"
"340","","","","","0.00","162","1","true"
"341","","","","","0.00","163","1","true"
"342","","","","","40.00","164","1","true"
"343","","","","","41.00","165","1","true"
"344","","","","","0.00","166","1","true"
"345","Masculino","16.000","","24.00","336.00","35","","true"
"346","Feminino","16.000","","11.00","307.00","35","","true"
"347","","","0.080","200.00","600.00","35","","true"
"348","","0.170","0.420","50.00","200.00","35","","true"
"349","","0.500","15.000","7.00","140.00","35","","true"
"351","","","","0.00","0.20","111","","true"
"352","","","","1.00","4.00","173","","true"
"354","","","","","0.00","176","37","true"
"355","","","","","30.00","120","","true"
"356","","","","20.00","35.00","180","","true"
"357","","12.000","","800.00","1800.00","181","","true"
"358","","","","20.00","150.00","183","","true"
"360","","","","","3.00","184","","true"
